 8.781ms,
 9.035ms,
 10.671ms,
 8.22ms,
 9.853ms,
 8.825ms,
 9.282ms,
 14.627ms,
 18.784ms,
 8.821ms,
 9.437ms,
 8.892ms,
 10.282ms,
 9.444ms,
 9.266ms,
 9.866ms,
 9.262ms,
 9.376ms,
 8.971ms,
 9.79ms,
 10.364ms,
 9.54ms,
 16.829ms,
 9.62ms,
 8.82ms,
 8.942ms,
